@id,title,dateCreated,dateModified,sameAs,storageRegion.prefLabel,storageByteCount,creator.@id,creator.name,usage.viewCount,resourceNature.displayLabel,rights.name,hasOsfAddon.prefLabel,funder.name
https://test.osf.io/qzph3,Subcomponent,2020-05-07,2021-03-08,,United States,0,https://test.osf.io/mraqk,Bri L Luis,,,,,
https://test.osf.io/cg46x,Py3 From Quick File,2020-01-16,2020-01-16,,Canada - Montréal,45,https://test.osf.io/rx4vp,Blue Middle Family,1,,,,
https://test.osf.io/kza6r,askdjhaskjdhaskjdh,2019-03-30,2019-03-30,,United States,14742,https://test.osf.io/kbc2d,Matt,,,,,
https://test.osf.io/dgryq,Hypothesis: id aliquet lectus proin nibh,2019-11-15,2019-11-16,,United States,0,https://test.osf.io/3pwky ; https://test.osf.io/783bw,Sara Bowman ; Nici Product,,,,,
https://test.osf.io/9dyfb,"Hypothesis: Etiam commodo mauris leo, at.",2019-11-15,2019-11-16,,United States,0,https://test.osf.io/3pwky ; https://test.osf.io/783bw,Sara Bowman ; Nici Product,,,CC0 1.0 Universal,,
https://test.osf.io/xh89w,Ursa,2022-12-20,2024-06-02,,United States,2642334,https://test.osf.io/8qhse ; https://test.osf.io/atryg ; https://test.osf.io/fs8ux ; https://test.osf.io/ma473,kyle gumlock ; Blaine Butler ; Daniel Steger ; Thomas Turgeon,,,CC0 1.0 Universal,,
https://test.osf.io/hspx5,Test component for registration,2025-10-16,2025-10-16,,United States,0,https://test.osf.io/kzqhy,Ramyashri Virajamangala,,,Apache License 2.0,,
https://test.osf.io/wpv72,DC Test - Public Component - 01272022,2022-01-27,2022-01-27,,United States,0,https://test.osf.io/wujvb,DC Test Cow,,,,,
https://test.osf.io/y89ds,Test Project,2024-08-19,2025-06-18,,Germany - Frankfurt,75205230,https://test.osf.io/uwdve,Fake Person,3,,CC0 1.0 Universal,Google Drive,
https://test.osf.io/bt798,"The Attitudes, Identities, and Individual Differences (AIID) Study and Dataset",2025-09-16,2025-09-17,,United States,0,https://test.osf.io/atryg,Blaine Butler,,,,,National Science Foundation
https://test.osf.io/3tqvb,DOI test 6.12.25,2025-06-12,2025-06-12,,United States,0,https://test.osf.io/qa6hy,Adrian Novak,1,,,,
https://test.osf.io/cn6fd,Proposed Project [TEMPLATE],2023-10-16,2023-10-16,,United States,0,https://test.osf.io/atryg,Blaine Butler,,,CC-By Attribution-NonCommercial-NoDerivatives 4.0 International,,
https://test.osf.io/jed9c,test wiki,2025-09-17,2025-09-18,https://doi.org/10.70102/FK2OSF.IO/JED9C,United States,5981456,https://test.osf.io/cdr63,Eric Olson,1,,,,
https://test.osf.io/gyvbx,New dashboard test,2024-11-21,2025-06-09,https://doi.org/10.70102/FK2OSF.IO/GYVBX,United States,10169215,https://test.osf.io/kzqhy ; https://test.osf.io/t82fv ; https://test.osf.io/ugp32,Ramyashri Virajamangala ; OSFTesting+Read+Write+User ; OSFTesting+Multi+Affs,,Book,CC0 1.0 Universal,Redirect Link,NFL Charities
https://test.osf.io/kyrf9,"Exploring the Interplay Between Quantum Entanglement, Decoherence, and Information Preservation in Open Quantum Systems: A Comparative Study of Theoretical Models and Experimental Approaches",2025-06-10,2025-10-07,,United States,345962,https://test.osf.io/nvxzg,Josh Hernandez,3,,No license,,
https://test.osf.io/6xr32,test,2025-02-05,2025-02-05,,United States,0,https://test.osf.io/kzqhy,Ramyashri Virajamangala,,,,,
https://test.osf.io/64vpk,Bulk Upload Test - Non-bibliographic Initiator,2021-12-21,2021-12-21,,United States,0,https://test.osf.io/t49sy ; https://test.osf.io/xcrs8,LC Test - READ Contributor ; LC Test - Institutions,,,,,
https://test.osf.io/se25q,Dataset 2,2023-02-02,2023-09-28,,United States,0,https://test.osf.io/atryg,Blaine Butler,1,,CC-By Attribution 4.0 International,,
https://test.osf.io/8yanc,test5,2022-09-29,2023-01-31,,Germany - Frankfurt,0,https://test.osf.io/cdr63,Eric Olson,,Book,CC0 1.0 Universal,,Office of Nuclear Facilities Management
https://test.osf.io/q52pm,Component 3,2023-05-26,2023-06-15,,United States,437,https://test.osf.io/e3sfk,DC Test  Emu,1,,,,
https://test.osf.io/epxgr,Templated from tmp,2025-10-06,2025-10-07,,United States,0,https://test.osf.io/cdr63,Eric Olson,,,,,
https://test.osf.io/2kc8f,climate is great and this is change,2025-10-11,2025-10-11,,Canada - Montréal,0,https://test.osf.io/cdr63,Eric Olson,,,,,
https://test.osf.io/5r9c7,Test 44,2022-07-20,2024-06-02,,United States,10736278,https://test.osf.io/atryg,Blaine Butler,,,CC0 1.0 Universal,,
https://test.osf.io/xzauf,GV Session / Angular Registration Addon Issue,2025-10-08,2025-10-10,,United States,0,https://test.osf.io/dgj72,Longze Chen - Super,,,,Dropbox,
https://test.osf.io/uecys,Templated from Fork of College Choice: Importance of Information about Colleges,2023-09-27,2025-10-08,,Canada - Montréal,0,https://test.osf.io/cdr63,Eric Olson,,,CC0 1.0 Universal,,Michael J. Fox Foundation for Parkinson's Research
https://test.osf.io/pkjyb,Forward to failure,2024-08-19,2024-08-19,,United States,0,https://test.osf.io/vte3j,Fitz Elliott,,,,,
